t,ID_Tag,ID_Anchor,range
0,1,10,17.0282953887002
0.1,1,10,16.5539890193396
0.2,1,10,17.3548146446948
0.3,1,10,16.4355684580075
0.4,1,10,16.476438419448
0.5,1,10,15.9232003019615
0.6,1,10,14.7711518463664
0.7,1,10,13.4191733571486
0.8,1,10,12.8982768700268
0.9,1,10,12.3345100847967
1,1,10,11.684493298118
1.1,1,10,10.7942593862541
1.2,1,10,10.2309310840855
1.3,1,10,12.7606760772258
1.4,1,10,9.38531003281359
1.5,1,10,9.5177630911861
1.6,1,10,9.07861564509486
1.7,1,10,9.2352114645279
1.8,1,10,9.27695581385469
1.9,1,10,8.98600956735772
2,1,10,8.99539833451016
2.1,1,10,8.51884467837017
2.2,1,10,8.63052503813617
2.3,1,10,8.63278552321203
2.4,1,10,8.79991147586509
2.5,1,10,9.176194793907
2.6,1,10,10.649551995799
2.7,1,10,10.4177015732831
2.8,1,10,11.0615893582982
2.9,1,10,11.3072754655586
3,1,10,11.5032927958158
3.1,1,10,11.9319520521714
3.2,1,10,12.6722116984307
3.3,1,10,13.7011766126829
3.4,1,10,14.2202464436661
3.5,1,10,18.6831072270915
3.6,1,10,14.8834164402807
3.7,1,10,15.4918437712167
3.8,1,10,17.9125784706388
3.9,1,10,16.2626476963824
4,1,10,17.330823430642
4.1,1,10,18.1443904721677
4.2,1,10,19.3047921750208
4.3,1,10,20.2352002479956
4.4,1,10,20.6722953449844
4.5,1,10,20.7356343081041
4.6,1,10,20.367001534697
4.7,1,10,19.9116163542206
4.8,1,10,20.3231123212983
4.9,1,10,21.3524857026716
5,1,10,21.898614813804
5.1,1,10,22.8918120072851
5.2,1,10,23.3348986543992
5.3,1,10,23.7488805562289
5.4,1,10,24.0225147938671
5.5,1,10,23.8461036147748
5.6,1,10,23.9326681978392
5.7,1,10,23.8817772377547
5.8,1,10,24.4179144511235
5.9,1,10,25.7623325178026
6,1,10,20.8832765214487
6.1,1,10,23.7246330524318
6.2,1,10,22.2222882177138
6.3,1,10,20.9322567418144
6.4,1,10,20.7851084503938
6.5,1,10,21.3553875608586
6.6,1,10,22.0483473614451
6.7,1,10,22.473920394724
6.8,1,10,22.0622531878872
6.9,1,10,21.5425544427393
7,1,10,21.1038202483934
7.1,1,10,21.0726877320956
7.2,1,10,23.2595599074154
7.3,1,10,21.6480059825375
7.4,1,10,21.4799208012075
7.5,1,10,20.7450145929999
7.6,1,10,20.0677234119264
7.7,1,10,19.4997681751899
7.8,1,10,19.2832650851341
7.9,1,10,19.4435002309319
8,1,10,19.2425377634954
8.1,1,10,17.6294854502317
